(Vertex: 22, Vertex: 23, Vertex: AP2); Cost: 3
(Vertex: 23, Vertex: AP2); Cost: 1
(Vertex: 25, Vertex: 23, Vertex: AP2); Cost: 4
(Vertex: 26, Vertex: 28, Vertex: AP3); Cost: 3
(Vertex: 27, Vertex: 31, Vertex: 28, Vertex: AP3); Cost: 4
(Vertex: 28, Vertex: AP3); Cost: 2
(Vertex: 30, Vertex: AP3); Cost: 1
(Vertex: 31, Vertex: 28, Vertex: AP3); Cost: 3
(Vertex: 32, Vertex: 35, Vertex: 36, Vertex: AP4); Cost: 7
(Vertex: 11, Vertex: AP4); Cost: 2
(Vertex: 33, Vertex: 35, Vertex: 36, Vertex: AP4); Cost: 7
(Vertex: 12, Vertex: 11, Vertex: AP4); Cost: 3
(Vertex: 34, Vertex: 36, Vertex: AP4); Cost: 5
(Vertex: 13, Vertex: 12, Vertex: 11, Vertex: AP4); Cost: 4
(Vertex: 35, Vertex: 36, Vertex: AP4); Cost: 4
(Vertex: 14, Vertex: 9, Vertex: AP4); Cost: 5
(Vertex: 36, Vertex: AP4); Cost: 3
(Vertex: 15, Vertex: AP1); Cost: 5
(Vertex: 37, Vertex: 12, Vertex: 11, Vertex: AP4); Cost: 5
(Vertex: 38, Vertex: 40, Vertex: 22, Vertex: 23, Vertex: AP2); Cost: 7
(Vertex: 17, Vertex: AP1); Cost: 8
(Vertex: 39, Vertex: 38, Vertex: 40, Vertex: 22, Vertex: 23, Vertex: AP2); Cost: 8
(Vertex: 18, Vertex: AP1); Cost: 7
(Vertex: 19, Vertex: AP1); Cost: 8
(Vertex: 0, Vertex: 7, Vertex: AP1); Cost: 9
(Vertex: 1, Vertex: 3, Vertex: 5, Vertex: AP5); Cost: 8
(Vertex: 2, Vertex: 3, Vertex: 5, Vertex: AP5); Cost: 10
(Vertex: 3, Vertex: 5, Vertex: AP5); Cost: 5
(Vertex: 5, Vertex: AP5); Cost: 3
(Vertex: 6, Vertex: 5, Vertex: AP5); Cost: 5
(Vertex: 7, Vertex: AP1); Cost: 6
(Vertex: 8, Vertex: 9, Vertex: AP4); Cost: 4
(Vertex: 9, Vertex: AP4); Cost: 2
(Vertex: 40, Vertex: 22, Vertex: 23, Vertex: AP2); Cost: 6
(Vertex: 20, Vertex: 22, Vertex: 23, Vertex: AP2); Cost: 7
(Vertex: 21, Vertex: 22, Vertex: 23, Vertex: AP2); Cost: 7
